product_category_id,product_category,products
3308,Tahini Sesame Butter,"[
  325037
]"
1561,Mousse,"[
  269402,
  19052179,
  19676729
]"
4241,Prepared Macaroni and Cheese,"[
  19660025,
  1372031,
  38482,
  17695699
]"
1555,Conditioner,"[
  17185009,
  293365,
  2694243,
  3108869,
  19532178,
  88409,
  16759848,
  20981159,
  22768,
  19470318,
  17090787,
  16915085,
  20632705,
  17090422,
  168387,
  16847253,
  136149,
  2914970,
  2690356,
  20984876,
  16761883,
  2690236,
  20955410,
  41176,
  2754014,
  16756464,
  19470596,
  19545582,
  20955507,
  20183723,
  19497405,
  19427384,
  16848566,
  17898496,
  12716,
  16762158,
  186783,
  3107963,
  217839,
  17315144,
  18072874,
  17988121,
  20955483,
  19618539,
  17012078,
  20664124,
  20962882
]"
1524,Nail Polish,"[
  21293759
]"
4335,Immune Support,"[
  20035780,
  19214159,
  52818,
  2695512,
  3211793,
  19018921,
  52766,
  19503934,
  19061334
]"
1321,Tortillas,"[
  22118654
]"
2188,Lemons,"[
  3280022,
  17680403
]"
3226,Pecorino Romano,"[
  20025252,
  17358827
]"
1175,Bread Chips,"[
  17090844,
  3317953,
  124006,
  17679913,
  17679912
]"
3358,Other Dressing,"[
  21328288,
  21328306,
  19633377,
  71294,
  19739803,
  19118768,
  19124220,
  21478195,
  21982919,
  19228750,
  41444,
  20182581,
  5100,
  21515312,
  17987961,
  141627,
  16656285,
  21215531,
  21328214,
  20183473,
  3378615
]"
856,Mixed Flour,"[
  119164
]"
1405,Disposable Bowls,"[
  230162
]"
1119,Basmati Rice,"[
  16568240,
  19421284,
  16568010,
  19417015,
  254033,
  2815340,
  16636980,
  16948767,
  98676,
  1842306,
  338029,
  2742545,
  3332532,
  88063,
  17090366,
  19294682
]"
309,Tea Blends,"[
  21099308,
  18354504,
  21183471,
  1705840,
  84257,
  123814,
  195406,
  123816,
  75810,
  2636936,
  487431,
  27829,
  197783,
  123809
]"
276,Sparkling Juice,"[
  194051,
  22310241,
  18541303,
  16773601,
  22310278,
  19880213,
  18545692,
  20563412,
  20968070,
  19266431
]"
1009,Canned Sardines,"[
  17088120,
  2602642,
  30043,
  3398250,
  30045,
  30044,
  3404419
]"
4195,Frozen Fish Sticks,"[
  3130421,
  72424,
  72423,
  2870064,
  2219063,
  16992909
]"
933,Bread Crumbs,"[
  289130,
  25179,
  75656,
  340510,
  289131,
  279606,
  445047,
  561725,
  153652,
  162927,
  292017,
  529311
]"
4362,Fish Oil Supplements,"[
  21755171,
  19835997,
  86109,
  50747,
  1610841
]"
1023,Sun Dried Tomatoes,"[
  21367058
]"
4216,Frozen Turkey Patties,"[
  3325107
]"
370,Blueberries,"[
  122869,
  3137286,
  20581105,
  1121559,
  505956,
  20565802,
  3357437,
  122855,
  1134441,
  72393
]"
3536,Soft Cheese,"[
  20246528,
  520479,
  85435,
  2736168,
  16411010,
  16967235,
  520503,
  21945222,
  17008189
]"
1012,Canned Clams,"[
  1338814
]"
677,Frozen Cauliflower,"[
  18073521
]"
510,Butter Lettuce,"[
  19218446
]"
3384,Probiotic Drinks,"[
  2773849,
  20163978,
  3349340,
  19259654,
  19517762,
  3325250,
  21649415
]"
1509,Lip Liner,"[
  16763259,
  16760576,
  19711791,
  16759835,
  16761395,
  16762447
]"
106,Carmenere,"[
  45250
]"
422,Bartlett Pears,"[
  3283376
]"
