PRODUCT_CATEGORY_ID,PRODUCT_CATEGORY,PRODUCTS
1175,Bread Chips,"[
  {
    ""product_brand_name"": ""Stacy'S"",
    ""product_category"": ""Bread Chips"",
    ""product_category_id"": ""1175"",
    ""product_id"": 3317953,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_e59b4197-2797-4581-8438-621a36a4d33d.png"",
    ""product_name"": ""Pita Chips Simply"",
    ""product_size"": ""10.25 oz""
  },
  {
    ""product_brand_name"": ""Stacy'S"",
    ""product_category"": ""Bread Chips"",
    ""product_category_id"": ""1175"",
    ""product_id"": 124006,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_1b00144d-de7e-4e4d-93e8-d08980100282.png"",
    ""product_name"": ""Pita Thins Sea Salt"",
    ""product_size"": ""7 oz""
  },
  {
    ""product_brand_name"": ""Stacy'S"",
    ""product_category"": ""Bread Chips"",
    ""product_category_id"": ""1175"",
    ""product_id"": 17090844,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_2cdff5bc-9a97-45d1-9c87-f33f1db6e235.png"",
    ""product_name"": ""Pita Chips Simply"",
    ""product_size"": ""28 oz""
  },
  {
    ""product_brand_name"": ""Stacy's"",
    ""product_category"": ""Bread Chips"",
    ""product_category_id"": ""1175"",
    ""product_id"": 17679912,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_64873ff4-43ac-42e4-a3a6-44d2f907479a.png"",
    ""product_name"": ""Everything Bagel Chips"",
    ""product_size"": ""7 oz""
  },
  {
    ""product_brand_name"": ""Stacy's"",
    ""product_category"": ""Bread Chips"",
    ""product_category_id"": ""1175"",
    ""product_id"": 17679913,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_60c38789-3645-45ff-b497-726ac859a655.png"",
    ""product_name"": ""Simply Naked Bagel Chips"",
    ""product_size"": ""7 oz""
  }
]"
677,Frozen Cauliflower,"[
  {
    ""product_brand_name"": ""Cece's Veggie Co."",
    ""product_category"": ""Frozen Cauliflower"",
    ""product_category_id"": ""677"",
    ""product_id"": 18073521,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_c8966634-e2e2-409b-80f6-1f0ebab52b5e.jpg"",
    ""product_name"": ""Organic Riced Cauliflower"",
    ""product_size"": ""16 oz""
  }
]"
1405,Disposable Bowls,"[
  {
    ""product_brand_name"": ""Hefty"",
    ""product_category"": ""Disposable Bowls"",
    ""product_category_id"": ""1405"",
    ""product_id"": 230162,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_d075e811-8e9c-4974-aa86-540d60233d42.JPG"",
    ""product_name"": ""Microwavable Eco-Friendly 16 oz. Paper Bowls"",
    ""product_size"": ""25 each""
  }
]"
1119,Basmati Rice,"[
  {
    ""product_brand_name"": ""Pereg Natural Food"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 1842306,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a570b062-0e6e-4062-9b96-0a5f84c51fb3.jpg"",
    ""product_name"": ""Basmati Rice - White"",
    ""product_size"": ""16 oz""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 2742545,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_b49ba14e-16fd-43f3-90bd-92bc253c678a.jpg"",
    ""product_name"": ""Chef's Secret Extra Long Grain Basmati Rice"",
    ""product_size"": ""20 lb""
  },
  {
    ""product_brand_name"": ""Seeds of Change"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 19294682,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_04b95514-6c2a-42ba-b9f4-1f30aa452348.jpg"",
    ""product_name"": ""Brown Basmati Rice"",
    ""product_size"": ""6 ct""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 16948767,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_dc0a5605-a4fb-4e9c-bb08-bb5e0f6151be.png"",
    ""product_name"": ""Basmati Rice, Authentic"",
    ""product_size"": ""5 lb""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 88063,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_7a4f1686-c5ed-4da4-a0d8-16af216b438b.png"",
    ""product_name"": ""Rice, Indian Basmati, Authentic"",
    ""product_size"": ""10 lb""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 16568240,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_da1fae44-5bad-480e-ad11-7db7c38ce157.png"",
    ""product_name"": ""Rice Basmati"",
    ""product_size"": ""32 oz""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 2815340,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_cd044705-6f69-4157-bbbc-629af5ea4fa7.jpg"",
    ""product_name"": ""Brown Basmati Rice"",
    ""product_size"": ""10 lb""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 16568010,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_4893a64d-f252-4276-b692-34a8ab0bf012.png"",
    ""product_name"": ""Rice Brown Basmati"",
    ""product_size"": ""32 oz""
  },
  {
    ""product_brand_name"": ""Uncle Ben'S"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 98676,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_7eac7a47-9913-468c-8b55-2bfd3570453b.jpg"",
    ""product_name"": ""Basmati"",
    ""product_size"": ""8.5 oz""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 254033,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_93bdfe90-c91b-4d41-a734-550f2acf8d9d.jpg"",
    ""product_name"": ""Basmati Rice, Extra Long Grain"",
    ""product_size"": ""10 lb""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 19421284,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_ccb46490-7e2d-48b0-a2db-304d69d4ccfc.png"",
    ""product_name"": ""Rice, Basmati, Chicken & Herb"",
    ""product_size"": ""8.5 oz""
  },
  {
    ""product_brand_name"": ""Pereg"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 338029,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_fe7bad05-db6a-4b67-917b-6e8be857e71d.png"",
    ""product_name"": ""Rice, Basmati, All Italiana"",
    ""product_size"": ""6 oz""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 17090366,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_ec749f53-66ad-444d-8a8d-8e4b620b32ca.jpg"",
    ""product_name"": ""Basmati Rice"",
    ""product_size"": ""20 lb""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 16636980,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_f2310939-cdc5-43ab-8a86-9c04fa5be8c2.png"",
    ""product_name"": ""Rice, Chef's Blend"",
    ""product_size"": ""32 oz""
  },
  {
    ""product_brand_name"": ""Royal"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 19417015,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a720bfe1-a2a1-457c-afdb-825b7d4846f1.png"",
    ""product_name"": ""Rice, White Basmati"",
    ""product_size"": ""8.5 oz""
  },
  {
    ""product_brand_name"": ""Pereg Natural Food"",
    ""product_category"": ""Basmati Rice"",
    ""product_category_id"": ""1119"",
    ""product_id"": 3332532,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_658802f7-2608-47eb-ba18-1bd9ad07bfec.jpg"",
    ""product_name"": ""Basmati Rice - Brown"",
    ""product_size"": ""16 oz""
  }
]"
856,Mixed Flour,"[
  {
    ""product_brand_name"": ""King Arthur Flour"",
    ""product_category"": ""Mixed Flour"",
    ""product_category_id"": ""856"",
    ""product_id"": 119164,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a5ff6f36-1d7b-442b-8631-28239749f62d.png"",
    ""product_name"": ""Baking Mix, All-Purpose, Gluten Free"",
    ""product_size"": ""24 oz""
  }
]"
510,Butter Lettuce,"[
  {
    ""product_brand_name"": ""Bowery"",
    ""product_category"": ""Butter Lettuce"",
    ""product_category_id"": ""510"",
    ""product_id"": 19218446,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_e3a6a6e3-769c-4a29-a91a-ad2efa43afa0.png"",
    ""product_name"": ""Baby Butter"",
    ""product_size"": ""4 oz""
  }
]"
3536,Soft Cheese,"[
  {
    ""product_brand_name"": ""Emmi"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 20246528,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a0252a65-a738-4b36-9a93-6727d4b5cf81.png"",
    ""product_name"": ""Cheese, Le Cremeux, Semi-Soft"",
    ""product_size"": ""5 oz""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 520503,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_764274fe-5ad2-4acb-b6fa-b0a5e091389d.jpg"",
    ""product_name"": ""Semisoft Cheese"",
    ""product_size"": ""0.75 oz""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 21945222,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_b066c630-6f97-4915-81f0-ebf7006ff7b5.jpg"",
    ""product_name"": ""Original Semisoft Cheese"",
    ""product_size"": ""2.3 oz""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 17008189,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_63e2c5a7-1ec4-48e0-9faa-85dba5b8640d.jpg"",
    ""product_name"": ""Original Semisoft Cheeses"",
    ""product_size"": ""0.75 oz""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 520479,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_b65323e7-b6cf-4a40-b0b6-4a9925e5aa10.jpg"",
    ""product_name"": ""Light Semisoft Cheese"",
    ""product_size"": ""0.75 oz""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 16411010,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_2e80e88b-3aeb-4d6a-9ccf-5177e3650532.jpg"",
    ""product_name"": ""Semisoft Cheeses Original"",
    ""product_size"": ""6 ct""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 2736168,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_560f05ff-92c5-4804-a81e-9ab9b5ac98fb.jpg"",
    ""product_name"": ""Original Semisoft Cheeses"",
    ""product_size"": ""32 ct""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 16967235,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a218a63a-37ea-475d-8025-f5c0570bcaad.jpg"",
    ""product_name"": ""Light Semisoft Cheeses"",
    ""product_size"": ""12 ct""
  },
  {
    ""product_brand_name"": ""Mini Babybel"",
    ""product_category"": ""Soft Cheese"",
    ""product_category_id"": ""3536"",
    ""product_id"": 85435,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_c604c16a-19ed-47d8-acea-de0c8c5e8ac6.jpg"",
    ""product_name"": ""Light Semisoft Cheese"",
    ""product_size"": ""6 ct""
  }
]"
664,Frozen Entrees,"[
  {
    ""product_brand_name"": ""Frontera"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 18411596,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_122e2a74-ea28-4c84-950d-290b599e6b22.jpeg"",
    ""product_name"": ""Chicken Verde Taco Bowl"",
    ""product_size"": ""11.2 oz""
  },
  {
    ""product_brand_name"": ""Alpha Foods"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 20141012,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_925c652d-32b9-4c78-a806-bc8a462aaf79.png"",
    ""product_name"": ""Beefy Crumble"",
    ""product_size"": ""8 oz""
  },
  {
    ""product_brand_name"": ""On Cor"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 19607856,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_c7cad519-e6c1-47d2-96c2-509f53b59f2d.JPG"",
    ""product_name"": ""Selects Chicken & Vegetable Rice On-Cor Selects Chicken & Vegetable Rice Bake"",
    ""product_size"": ""28 oz""
  },
  {
    ""product_brand_name"": ""Veggies Made Great"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 19424855,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_c742cb34-fbd8-4cea-bcfd-2fa912c46771.png"",
    ""product_name"": ""Frittata, Spinach Egg White"",
    ""product_size"": ""6 each""
  },
  {
    ""product_brand_name"": ""Lean Cuisine Comfort"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 80474,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_0ae182e9-7158-4468-9bcb-32f6e2cdbe6c.jpg"",
    ""product_name"": ""Features Meatloaf with Mashed Potatoes Frozen Meal"",
    ""product_size"": ""9.375 oz""
  },
  {
    ""product_brand_name"": ""New York Brand"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 18345133,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_8143ab72-4f00-4d65-a4f6-e95a86a3641b.jpg"",
    ""product_name"": ""Bakery Stuffed 3-Cheese Cheese Sticks"",
    ""product_size"": ""12.9 oz""
  },
  {
    ""product_brand_name"": ""Scott & Jons"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 17642801,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_05214d0b-3696-4611-ac1d-26b726244c6a.png"",
    ""product_name"": ""Rice Bowl, Cilantro Lime Shrimp"",
    ""product_size"": ""8 oz""
  },
  {
    ""product_brand_name"": ""Scott & Jons"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 19029524,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_881fd740-07db-4865-84b5-b34539716e39.png"",
    ""product_name"": ""Rice Bowl, Parmesan Shrimp"",
    ""product_size"": ""8 oz""
  },
  {
    ""product_brand_name"": ""EatingWell"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 17090355,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_fa2010a2-3f4b-4207-9f73-57c685e3628e.png"",
    ""product_name"": ""Chicken & Wild Rice Stroganoff"",
    ""product_size"": ""10 oz""
  },
  {
    ""product_brand_name"": ""Path of Life"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 21164689,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_db9be2ed-f450-4c44-aafc-04ec9b153a14.png"",
    ""product_name"": ""Rice Blend, Cilantro Lime"",
    ""product_size"": ""10 oz""
  },
  {
    ""product_brand_name"": ""Scott & Jon's"",
    ""product_category"": ""Frozen Entrees"",
    ""product_category_id"": ""664"",
    ""product_id"": 19026333,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_9dc015bf-54e9-4bf1-93d4-f4d1a1815257.png"",
    ""product_name"": ""Rice Bowl, Coconut Shrimp"",
    ""product_size"": ""8 oz""
  }
]"
3369,Beef Jerky,"[
  {
    ""product_brand_name"": ""Ayoba Yo"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 19498943,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_b3e812f5-bcb4-4ea9-ac2b-4e2462922eb9.png"",
    ""product_name"": ""Biltong, Sugar Free, Spicy"",
    ""product_size"": ""2 oz""
  },
  {
    ""product_brand_name"": ""Chomps"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 21846416,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_549993fa-4d1e-4e7a-9276-c33ab6fbf673.jpg"",
    ""product_name"": ""Mini Original Beef Sticks"",
    ""product_size"": ""0.5 oz""
  },
  {
    ""product_brand_name"": ""Jack Link's"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 2664816,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_09a6b5dd-f123-4b22-905f-e67f6f8a051c.png"",
    ""product_name"": ""Beef Jerky, Original, On-the-Go Packs"",
    ""product_size"": ""5 each""
  },
  {
    ""product_brand_name"": ""Jack Link's"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 18181713,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_07f3ece5-c449-4ca2-ad3f-2cff0f15f9ae.jpg"",
    ""product_name"": ""Beef Pepperoni Sticks, Pepperoni, The Big 9 Pack"",
    ""product_size"": ""7.2 each""
  },
  {
    ""product_brand_name"": ""Jack Link's"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 17635403,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_fd1daac4-9883-4b49-826c-9e634cc4dd7b.png"",
    ""product_name"": ""Beef Jerky, Teriyaki, Family Size"",
    ""product_size"": ""8 oz""
  },
  {
    ""product_brand_name"": ""Krave"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 16705772,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_26db3e71-242e-4298-bc4f-f893eda9a466.png"",
    ""product_name"": ""Beef Jerky Chili Lime"",
    ""product_size"": ""2.7 oz""
  },
  {
    ""product_brand_name"": ""Krave"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 16704809,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_6a5abc1a-559e-447d-9b17-5f0dee43f0d7.jpeg"",
    ""product_name"": ""Gourmet Beef Cuts Sweet Chipotle"",
    ""product_size"": ""2.7 oz""
  },
  {
    ""product_brand_name"": ""Chomps"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 18406171,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_21aeff53-b7be-48ba-9e1f-e2251bcfacd4.png"",
    ""product_name"": ""Beef Stick, Jalapeno, Medium"",
    ""product_size"": ""1.15 oz""
  },
  {
    ""product_brand_name"": ""Jack Link's"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 17898680,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_216b6975-26e6-4bc7-84d2-87e13815b4c6.png"",
    ""product_name"": ""Beef Jerky, Original, Family Size"",
    ""product_size"": ""8 oz""
  },
  {
    ""product_brand_name"": ""Chef's Cut"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 17727703,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_c84a5b1e-5303-4294-bafa-5becc144e98b.jpg"",
    ""product_name"": ""Jerky, Real Steak, Original Recipe"",
    ""product_size"": ""1.25 oz""
  },
  {
    ""product_brand_name"": ""Chomps"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 21963385,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_bb6ae36c-f16a-4ebc-aad0-90224ea0dff9.jpg"",
    ""product_name"": ""Mini Italian Beef Sticks"",
    ""product_size"": ""0.5 oz""
  },
  {
    ""product_brand_name"": ""Chomps"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 18343928,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_a7b182ae-3f13-4594-82f2-021fd5bd2b8d.png"",
    ""product_name"": ""Beef Stick, Original, Mild"",
    ""product_size"": ""1.15 oz""
  },
  {
    ""product_brand_name"": ""Chomps"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 20237152,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_68f0b10f-49e5-4958-a12d-9aca044c3837.png"",
    ""product_name"": ""Beef Stick, Italian Style, Mild"",
    ""product_size"": ""1.15 oz""
  },
  {
    ""product_brand_name"": ""Slim Jim"",
    ""product_category"": ""Beef Jerky"",
    ""product_category_id"": ""3369"",
    ""product_id"": 196021,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_d531f5cb-4063-4f8f-982a-5198bc325639.jpeg"",
    ""product_name"": ""Original Gravity Feed"",
    ""product_size"": ""0.28 oz""
  }
]"
1509,Lip Liner,"[
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 16759835,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_79557365-c18d-439c-ab3a-05d570e49740.png"",
    ""product_name"": ""ColorSensational Lip Liner  105 Nude Whisper"",
    ""product_size"": ""0.01 oz""
  },
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 16760576,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_cdced84f-855f-4d08-8a1c-9b3edb984f52.png"",
    ""product_name"": ""Lip Liner, Shaping, Clear 100"",
    ""product_size"": ""0.01 oz""
  },
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 16761395,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_1d3e2b68-663a-47e4-a551-14978c701edd.png"",
    ""product_name"": ""Lip Liner, Shaping, Plum Passion 165"",
    ""product_size"": ""0.01 oz""
  },
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 16763259,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_fe89f434-ba3b-4c7b-9b24-5f7fa5806f78.png"",
    ""product_name"": ""New York Color Sensational Shaping Lip Liner 155 Wild Violets"",
    ""product_size"": ""0.01 oz""
  },
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 16762447,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_d5ce52bf-c0d0-45a4-9788-3e0ca1625acb.png"",
    ""product_name"": ""New York Color Sensational Shaping Lip Liner 125 Magnetic Mauve"",
    ""product_size"": ""0.001 oz""
  },
  {
    ""product_brand_name"": ""Maybelline"",
    ""product_category"": ""Lip Liner"",
    ""product_category_id"": ""1509"",
    ""product_id"": 19711791,
    ""product_image_url"": ""https://d2lnr5mha7bycj.cloudfront.net/product-image/file/primary_38a3e1c4-b284-4271-bb61-483c9d60922e.jpg"",
    ""product_name"": ""Lip Crayon, Stay Exceptional 25"",
    ""product_size"": ""0.04 oz""
  }
]"
